uid,label,date,points_std,covering_std,num_of_points,covering,entropy,turning_radius,place_dif,weekdays_weekends,ratio_day,ratio_night
10032318,1,32,2.880517147,0.644455259,5.65625,1.8125,4.913931211,7.145692856,0.2105,-0.6328502420000001,0.0868421052631579,0.0868421052631579
10041348,1,32,3.4123530339999997,2.1812988140000003,30.96875,7.375,4.939055071,7.142024509,0.2185,1.3478260869999998,0.48081264108352145,0.48081264108352145
10076180,1,32,2.8820915339999997,1.729429796,7.125,2.90625,4.751750082,7.144861035,0.5785,0.637681159,0.24968199164092314,0.24968199164092314
10099716,1,18,5.802016778,3.953983678,10.38888889,6.1111111110000005,3.8403174730000003,7.146254923,0.11599999999999999,3.083333333,0.3988273615635179,0.6954838709677419
10101115,0,32,14.25120255,2.078111736,71.0,7.9375,4.9533445469999995,7.116406212,0.0278,4.792270531000001,0.32787444558171275,0.31523524297169353
10101435,0,32,5.330602459,2.415507694,26.3125,10.3125,4.958359038999999,7.143984776,0.0484,-1.111111111,0.2694300518134715,0.23558758314855877
10101931,1,30,7.167615548,1.1788363640000001,13.73333333,3.3,4.816253468999999,7.144012042000001,0.1416,4.222222222,0.11838306063522618,0.1775644871025795
10107317,0,30,5.29595378,2.012603963,23.56666667,5.8666666670000005,4.822906297,7.1402939960000005,0.1729,-0.565217391,0.3815559772296015,0.3815559772296015
10111265,0,32,4.087623925,2.130566712,8.53125,3.09375,4.734734081,7.13891063,0.0114,-1.4251207730000002,0.2835374338992485,0.3296578730420445
10242329,0,27,11.14601356,0.9928519459999999,19.81481481,3.2962962960000004,4.695768302,7.140512431,0.1786,10.31578947,0.23899647887323944,0.23899647887323944
10242447,0,31,4.8842516289999995,2.0971050190000002,15.4516129,4.741935484,4.806408762,7.15104627,0.0461,-5.2173913039999995,0.27720065609622746,0.27720065609622746
10242544,1,24,2.9924421710000004,0.9078961190000001,10.45833333,2.291666667,4.476369941000001,7.141245592000001,0.7967,-4.277777778,0.30625233994758516,0.30625233994758516
10251181,0,32,7.0578685210000005,2.263846285,21.84375,3.3125,4.697273645,7.110495014,0.6157,11.00724638,0.25836005497022446,0.25836005497022446
10269335,1,24,7.002587513,3.529379795,14.08333333,6.75,4.390235028,7.151858874,0.1678,-8.823529412000001,0.5743913435527502,0.16739659367396595
10269436,1,32,6.5671930220000005,2.338320324,19.03125,4.875,4.8189805119999995,7.137023116,0.0037,2.02484472,0.4162310866574966,0.3463203463203463
10269519,1,32,4.798248168,1.3781123130000001,19.40625,4.1875,4.926101602,7.137176209,0.1043,4.942028986,0.4087489551407077,0.4087489551407077
